title,body,tags,author,date
Framework or Vanilla JS?,"Diam vulputate ut pharetra sit amet aliquam id diam. At urna condimentum mattis pellentesque id nibh tortor. Ut tristique et egestas quis ipsum suspendisse ultrices. Iaculis nunc sed augue lacus viverra vitae congue eu consequat. Nullam vehicula ipsum a arcu cursus. Malesuada fames ac turpis egestas maecenas pharetra convallis posuere. Elementum tempus egestas sed sed risus pretium quam vulputate. Molestie nunc non blandit massa. Pulvinar sapien et ligula ullamcorper malesuada proin libero. Ut sem viverra aliquet eget sit amet tellus. Hendrerit gravida rutrum quisque non tellus orci ac auctor. Adipiscing bibendum est ultricies integer quis auctor elit. Vivamus at augue eget arcu dictum varius. Etiam sit amet nisl purus in. Neque egestas congue quisque egestas diam in arcu. Nisi est sit amet facilisis magna etiam tempor orci eu. Egestas sed sed risus pretium quam vulputate dignissim suspendisse. Tincidunt praesent semper feugiat nibh sed pulvinar proin gravida hendrerit. Mauris nunc congue nisi vitae suscipit tellus mauris a diam. Interdum posuere lorem ipsum dolor sit.

Vitae turpis massa sed elementum tempus egestas sed sed. Aliquam id diam maecenas ultricies mi eget mauris pharetra. Ullamcorper velit sed ullamcorper morbi tincidunt ornare massa. Hac habitasse platea dictumst quisque sagittis. Eget felis eget nunc lobortis mattis. Nisl vel pretium lectus quam id leo in vitae turpis. Tristique sollicitudin nibh sit amet. Mollis aliquam ut porttitor leo a. Diam maecenas ultricies mi eget mauris pharetra. Elementum curabitur vitae nunc sed velit. Convallis tellus id interdum velit laoreet id donec ultrices tincidunt. Eget arcu dictum varius duis. In dictum non consectetur a erat nam at lectus. Sed sed risus pretium quam vulputate dignissim suspendisse in est. Leo vel fringilla est ullamcorper eget nulla facilisi. Porta non pulvinar neque laoreet suspendisse interdum consectetur libero. Arcu ac tortor dignissim convallis aenean et. Duis tristique sollicitudin nibh sit.
",#web-dev,Galatea,05/08/22
Web Hosting,"Et sollicitudin ac orci phasellus egestas tellus rutrum tellus pellentesque. Sodales ut etiam sit amet. Lobortis mattis aliquam faucibus purus in massa. Venenatis cras sed felis eget velit aliquet sagittis id. Est pellentesque elit ullamcorper dignissim cras tincidunt lobortis feugiat vivamus. Sit amet luctus venenatis lectus magna. Ullamcorper velit sed ullamcorper morbi. Volutpat ac tincidunt vitae semper. In hac habitasse platea dictumst vestibulum. Fusce ut placerat orci nulla pellentesque dignissim. Tortor condimentum lacinia quis vel eros donec ac odio. Sapien eget mi proin sed. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Magna sit amet purus gravida quis blandit turpis cursus. Mauris a diam maecenas sed enim. Risus ultricies tristique nulla aliquet enim tortor at auctor urna.

Elit at imperdiet dui accumsan sit. Justo nec ultrices dui sapien. Senectus et netus et malesuada fames ac. Senectus et netus et malesuada fames ac. Sagittis orci a scelerisque purus semper eget duis at tellus. Semper quis lectus nulla at volutpat diam ut venenatis. Quam elementum pulvinar etiam non. Quis hendrerit dolor magna eget est lorem ipsum dolor. Nunc sed id semper risus. Felis imperdiet proin fermentum leo vel. Suspendisse interdum consectetur libero id faucibus nisl tincidunt. Laoreet non curabitur gravida arcu ac.",#web-dev,Arcadia,14/08/22
Predictions,Augue eget arcu dictum varius duis at consectetur lorem donec. Morbi tincidunt augue interdum velit euismod in pellentesque. Pellentesque massa placerat duis ultricies lacus sed turpis. A cras semper auctor neque vitae tempus quam. Cras sed felis eget velit aliquet sagittis id. Malesuada bibendum arcu vitae elementum curabitur. Laoreet suspendisse interdum consectetur libero id faucibus nisl tincidunt eget. Nec nam aliquam sem et tortor consequat id porta nibh. Nunc sed velit dignissim sodales ut. Duis tristique sollicitudin nibh sit amet. Morbi quis commodo odio aenean sed adipiscing. Sollicitudin aliquam ultrices sagittis orci a scelerisque. Sed vulputate mi sit amet mauris commodo quis imperdiet massa. Vulputate dignissim suspendisse in est. Euismod quis viverra nibh cras pulvinar. Vulputate odio ut enim blandit volutpat. In arcu cursus euismod quis viverra. Viverra mauris in aliquam sem fringilla ut morbi tincidunt augue. Consectetur a erat nam at lectus urna duis.  Id interdum velit laoreet id donec ultrices tincidunt arcu. Diam volutpat commodo sed egestas egestas fringilla phasellus. Vestibulum lorem sed risus ultricies tristique nulla aliquet enim tortor. Gravida quis blandit turpis cursus in hac habitasse. Vulputate dignissim suspendisse in est ante. Quam nulla porttitor massa id neque aliquam. Aliquam malesuada bibendum arcu vitae elementum curabitur vitae nunc. In nulla posuere sollicitudin aliquam ultrices. Nulla facilisi nullam vehicula ipsum a. Aliquet eget sit amet tellus cras adipiscing. Posuere ac ut consequat semper viverra nam. Consequat semper viverra nam libero justo laoreet sit. Cursus risus at ultrices mi tempus imperdiet nulla. Amet risus nullam eget felis eget. Massa tempor nec feugiat nisl. Gravida dictum fusce ut placerat orci nulla pellentesque. Ac felis donec et odio pellentesque diam. Integer quis auctor elit sed vulputate mi sit. ,#World-Cup,Arcadia,15/07/22
Brazil!,Praesent elementum facilisis leo vel fringilla. Risus at ultrices mi tempus. Posuere urna nec tincidunt praesent semper feugiat. In ante metus dictum at tempor commodo. Aliquam faucibus purus in massa. Fermentum posuere urna nec tincidunt praesent semper. Est ullamcorper eget nulla facilisi etiam dignissim diam quis. Convallis a cras semper auctor neque vitae tempus. Convallis posuere morbi leo urna molestie. Turpis cursus in hac habitasse. Augue neque gravida in fermentum et. Magna sit amet purus gravida quis. Sagittis vitae et leo duis ut diam quam nulla porttitor. Aliquam faucibus purus in massa tempor nec feugiat nisl pretium. Lacus sed turpis tincidunt id aliquet risus feugiat. At lectus urna duis convallis convallis.,#World-Cup,Proteus,25/07/22
World Cup 2022,"Euismod quis viverra nibh cras pulvinar mattis nunc. Laoreet sit amet cursus sit amet dictum sit. Sit amet commodo nulla facilisi nullam vehicula. Elit scelerisque mauris pellentesque pulvinar pellentesque. Integer eget aliquet nibh praesent tristique. Mauris pellentesque pulvinar pellentesque habitant. Id faucibus nisl tincidunt eget nullam non nisi est. Ipsum dolor sit amet consectetur adipiscing. Urna nunc id cursus metus aliquam eleifend mi in. Neque laoreet suspendisse interdum consectetur libero id faucibus. In nisl nisi scelerisque eu ultrices vitae auctor eu augue. Pulvinar sapien et ligula ullamcorper. Sed vulputate mi sit amet mauris commodo. Eu tincidunt tortor aliquam nulla facilisi cras fermentum odio eu. At auctor urna nunc id cursus metus aliquam eleifend. Sodales ut etiam sit amet nisl purus in mollis.

Nisi scelerisque eu ultrices vitae auctor eu augue ut. Facilisis magna etiam tempor orci eu lobortis elementum. Cras fermentum odio eu feugiat. Elementum facilisis leo vel fringilla est. Blandit aliquam etiam erat velit scelerisque in dictum non. Egestas sed tempus urna et. Dui sapien eget mi proin sed libero enim. Venenatis a condimentum vitae sapien pellentesque habitant morbi tristique. Leo a diam sollicitudin tempor. Risus at ultrices mi tempus. Cras pulvinar mattis nunc sed blandit libero. Amet nisl suscipit adipiscing bibendum est ultricies integer quis. Ut porttitor leo a diam. Congue quisque egestas diam in arcu. Amet commodo nulla facilisi nullam vehicula ipsum. A diam maecenas sed enim ut sem viverra aliquet.",#World-Cup,Dante,05/08/22
World Cup Predictions,"Purus semper eget duis at tellus at. Urna condimentum mattis pellentesque id nibh tortor id aliquet lectus. Varius quam quisque id diam. Mi tempus imperdiet nulla malesuada pellentesque elit eget gravida cum. Facilisis magna etiam tempor orci eu lobortis elementum. Convallis tellus id interdum velit laoreet. Aenean vel elit scelerisque mauris pellentesque pulvinar pellentesque habitant morbi. In ornare quam viverra orci sagittis eu. At lectus urna duis convallis convallis tellus id interdum velit. Massa tincidunt nunc pulvinar sapien. At imperdiet dui accumsan sit amet. Dolor sit amet consectetur adipiscing. Id faucibus nisl tincidunt eget nullam non nisi. Orci sagittis eu volutpat odio facilisis mauris sit. Sit amet mattis vulputate enim.

Risus sed vulputate odio ut enim blandit volutpat maecenas. Tellus elementum sagittis vitae et leo duis ut diam quam. Eget duis at tellus at urna condimentum mattis pellentesque id. Sed turpis tincidunt id aliquet risus feugiat in ante. Suscipit adipiscing bibendum est ultricies integer. Ac turpis egestas sed tempus urna. Ultricies mi eget mauris pharetra et ultrices neque. Sed elementum tempus egestas sed. Scelerisque eleifend donec pretium vulputate sapien. Vulputate enim nulla aliquet porttitor lacus luctus accumsan tortor. Sodales neque sodales ut etiam sit amet nisl purus. Pharetra magna ac placerat vestibulum. Commodo viverra maecenas accumsan lacus vel facilisis volutpat. Nunc aliquet bibendum enim facilisis gravida neque. Ut enim blandit volutpat maecenas. Scelerisque mauris pellentesque pulvinar pellentesque habitant morbi tristique senectus et. At erat pellentesque adipiscing commodo elit. Tristique sollicitudin nibh sit amet commodo nulla facilisi nullam. Tristique magna sit amet purus.",#World-Cup,Morpheus,07/08/22
The Sandman,"Dignissim enim sit amet venenatis urna cursus eget nunc. Quis eleifend quam adipiscing vitae proin sagittis nisl rhoncus. Mauris cursus mattis molestie a iaculis at erat pellentesque. Massa ultricies mi quis hendrerit. Erat imperdiet sed euismod nisi porta lorem mollis. Ultrices mi tempus imperdiet nulla malesuada pellentesque elit eget. Vel quam elementum pulvinar etiam non. Diam ut venenatis tellus in metus vulputate. Ut ornare lectus sit amet est placerat in egestas. Amet commodo nulla facilisi nullam. In arcu cursus euismod quis viverra nibh cras pulvinar mattis.

Eu tincidunt tortor aliquam nulla facilisi cras fermentum. Gravida arcu ac tortor dignissim convallis aenean et tortor. Varius duis at consectetur lorem donec massa sapien faucibus et. Augue ut lectus arcu bibendum at varius vel pharetra vel. Et ligula ullamcorper malesuada proin libero. Nunc consequat interdum varius sit amet mattis. Adipiscing elit pellentesque habitant morbi tristique senectus et netus et. Congue mauris rhoncus aenean vel elit scelerisque mauris pellentesque pulvinar. Cras semper auctor neque vitae tempus quam pellentesque nec nam. Turpis cursus in hac habitasse platea dictumst quisque. Egestas sed sed risus pretium quam vulputate. Turpis cursus in hac habitasse platea dictumst quisque sagittis purus. Integer quis auctor elit sed vulputate mi sit. Sit amet consectetur adipiscing elit duis tristique sollicitudin nibh sit. Integer feugiat scelerisque varius morbi enim nunc faucibus a.",#television,Morpheus,16/08/22
The Boys season 3,"At in tellus integer feugiat. Integer vitae justo eget magna fermentum iaculis. Pulvinar etiam non quam lacus suspendisse faucibus interdum posuere. Lorem donec massa sapien faucibus et molestie ac feugiat. Eget mauris pharetra et ultrices neque ornare aenean. Id nibh tortor id aliquet lectus proin nibh. Mattis vulputate enim nulla aliquet porttitor. In arcu cursus euismod quis viverra nibh. Purus sit amet luctus venenatis. Sodales ut eu sem integer vitae. Cras sed felis eget velit aliquet sagittis id consectetur purus. Pulvinar pellentesque habitant morbi tristique senectus et netus. Dictum fusce ut placerat orci nulla pellentesque dignissim enim. Maecenas ultricies mi eget mauris pharetra. Donec massa sapien faucibus et molestie. Sed arcu non odio euismod lacinia at. Eget nullam non nisi est sit amet. Placerat in egestas erat imperdiet sed euismod nisi. Vestibulum lectus mauris ultrices eros.

Cursus mattis molestie a iaculis at erat pellentesque adipiscing. Cras tincidunt lobortis feugiat vivamus at. Semper quis lectus nulla at volutpat diam. Ligula ullamcorper malesuada proin libero nunc. Ipsum suspendisse ultrices gravida dictum fusce ut placerat. Amet justo donec enim diam vulputate ut pharetra sit. Congue quisque egestas diam in arcu cursus euismod quis viverra. Leo integer malesuada nunc vel risus commodo viverra. At augue eget arcu dictum varius duis at consectetur. Cras sed felis eget velit aliquet sagittis id consectetur. Ultrices dui sapien eget mi. Aliquet nibh praesent tristique magna sit amet purus gravida quis. Est pellentesque elit ullamcorper dignissim cras tincidunt lobortis feugiat vivamus. Fermentum iaculis eu non diam phasellus. Eget nunc lobortis mattis aliquam faucibus purus in. Cursus eget nunc scelerisque viverra.",#television,Thyrsus,12/08/22
Last of Us,"Amet consectetur adipiscing elit duis tristique sollicitudin nibh sit. Lectus magna fringilla urna porttitor rhoncus dolor purus. Nisl suscipit adipiscing bibendum est. Nunc aliquet bibendum enim facilisis gravida neque convallis a cras. Malesuada bibendum arcu vitae elementum curabitur vitae nunc. Volutpat maecenas volutpat blandit aliquam etiam erat. Amet consectetur adipiscing elit duis tristique sollicitudin nibh. Ut etiam sit amet nisl purus in mollis nunc. Odio aenean sed adipiscing diam donec adipiscing. Sed risus ultricies tristique nulla aliquet. Elit at imperdiet dui accumsan sit amet nulla facilisi. Tempus urna et pharetra pharetra massa massa. Et odio pellentesque diam volutpat commodo sed egestas egestas fringilla. Volutpat commodo sed egestas egestas fringilla phasellus faucibus scelerisque. Sapien et ligula ullamcorper malesuada proin libero nunc. Vel facilisis volutpat est velit egestas dui id ornare. Tortor aliquam nulla facilisi cras fermentum. Lorem donec massa sapien faucibus et. Id diam vel quam elementum pulvinar etiam.

Adipiscing elit ut aliquam purus sit. Urna cursus eget nunc scelerisque viverra mauris in aliquam. Purus in massa tempor nec feugiat. Velit scelerisque in dictum non consectetur a erat nam at. Et odio pellentesque diam volutpat. Gravida rutrum quisque non tellus orci. Feugiat in fermentum posuere urna nec tincidunt praesent semper feugiat. Justo eget magna fermentum iaculis eu non diam phasellus vestibulum. Ac feugiat sed lectus vestibulum mattis ullamcorper. Aliquet nec ullamcorper sit amet risus nullam eget. Elementum tempus egestas sed sed risus pretium. Accumsan lacus vel facilisis volutpat est velit egestas dui id. Adipiscing diam donec adipiscing tristique. Leo vel fringilla est ullamcorper eget nulla facilisi etiam dignissim. Feugiat pretium nibh ipsum consequat nisl vel pretium lectus.",#television,Technocrat,01/08/22
The Best Show ever?,Turpis massa sed elementum tempus egestas sed sed. Diam in arcu cursus euismod quis viverra nibh cras pulvinar. Orci sagittis eu volutpat odio. Id aliquet lectus proin nibh nisl condimentum id. Diam sit amet nisl suscipit adipiscing bibendum. Sit amet consectetur adipiscing elit pellentesque. Aliquam eleifend mi in nulla posuere sollicitudin. Turpis cursus in hac habitasse platea dictumst quisque. Pellentesque elit ullamcorper dignissim cras. Facilisis volutpat est velit egestas dui id ornare arcu. Nibh venenatis cras sed felis eget velit aliquet sagittis id. Scelerisque fermentum dui faucibus in ornare quam viverra. Lectus magna fringilla urna porttitor rhoncus dolor purus non enim.,#television,Morpheus,02/08/22
